* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\Elysian Diva - 250m - Blue Foam L.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 29, 2023 8:27:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\Elysian Diva - 250m - Blue Foam L.txt Format: Comma/Tab/Space delimited data 54607 values loaded, 2 Hz to 20,000 Hz 
* Measurement: Llysian Diva - 250m - Blue Foa
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 2.200 Hz
*
* Freq(Hz)	SPL(dB)
444.000000	65.272
450.000000	65.273
455.000000	65.274
462.000000	65.275
468.000000	65.277
475.000000	65.281
482.000000	65.284
487.000000	65.286
494.000000	65.291
500.000000	65.296
508.000000	65.304
515.000000	65.311
522.000000	65.319
530.000000	65.329
538.000000	65.340
545.000000	65.350
552.000000	65.360
560.000000	65.373
570.000000	65.390
580.000000	65.408
590.000000	65.426
600.000000	65.445
608.000000	65.462
615.000000	65.478
622.000000	65.495
630.000000	65.513
640.000000	65.540
650.000000	65.567
660.000000	65.595
670.000000	65.628
680.000000	65.660
690.000000	65.693
700.000000	65.730
710.000000	65.766
720.000000	65.804
730.000000	65.844
740.000000	65.886
750.000000	65.931
762.000000	65.988
775.000000	66.052
788.000000	66.119
800.000000	66.181
812.000000	66.242
825.000000	66.311
838.000000	66.384
850.000000	66.458
862.000000	66.535
875.000000	66.622
885.000000	66.693
900.000000	66.804
912.000000	66.897
925.000000	67.003
938.000000	67.111
950.000000	67.214
962.000000	67.321
975.000000	67.439
988.000000	67.561
1000.000000	67.678
1015.000000	67.835
1030.000000	67.996
1044.000000	68.147
1060.000000	68.318
1075.000000	68.478
1090.000000	68.635
1106.000000	68.799
1120.000000	68.941
1138.000000	69.118
1150.000000	69.233
1172.000000	69.437
1180.000000	69.508
1206.000000	69.732
1220.000000	69.846
1241.000000	70.008
