* Measurement data measured by REW V5.20.14
* Source: EQ Objectively Neutral IE Tar Filtered
* Format: 
* Dated: Aug 25, 2024 10:19:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: -23.0 dB
* Note: Measurement imported from /Users/sharuraudio/Downloads/Objectively Neutral IE Target.txt Format: Comma/Tab/Space delimited data 177 values loaded, 20 Hz to 20,000 Hz  PK       Fc    2000 Hz  Gain  -2.50 dB  Q  2.000 PK       Fc    2700 Hz  Gain  -3.00 dB  Q  2.000 HS Q     Fc    4000 Hz  Gain   1.80 dB Q  0.700 PK       Fc   750.0 Hz  Gain  -0.80 dB  Q  2.000 PK       Fc    3170 Hz  Gain  -0.30 dB  Q  2.000
* Measurement: EQ Objectively Neutral IE Tar
* Smoothing: None
* Frequency Step: 0.25 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB)
287.452816 59.965
287.702816 59.964
287.952816 59.963
288.202816 59.963
288.452816 59.962
288.702816 59.961
288.952816 59.961
289.202816 59.960
289.452816 59.960
289.702816 59.959
289.952816 59.958
290.202816 59.958
290.452816 59.957
290.702816 59.957
290.952816 59.956
291.202816 59.956
291.452816 59.955
291.702816 59.955
291.952816 59.954
292.202816 59.954
292.452816 59.953
292.702816 59.953
292.952816 59.952
293.202816 59.952
293.452816 59.951
293.702816 59.951
293.952816 59.951
294.202816 59.950
294.452816 59.950
294.702816 59.949
294.952816 59.949
295.202816 59.949
295.452816 59.949
295.702816 59.948
295.952816 59.948
296.202816 59.948
296.452816 59.948
296.702816 59.948
296.952816 59.948
297.202816 59.948
297.452816 59.948
297.702816 59.948
297.952816 59.948
298.202816 59.947
298.452816 59.947
298.702816 59.947
298.952816 59.947
299.202816 59.947
299.452816 59.947
299.702816 59.947
299.952816 59.947
300.202816 59.947
300.452816 59.947
300.702816 59.947
300.952816 59.947
301.202816 59.946
301.452816 59.946
301.702816 59.946
301.952816 59.946
302.202816 59.946
302.452816 59.946
302.702816 59.946
302.952816 59.945
303.202816 59.945
303.452816 59.945
303.702816 59.945
303.952816 59.945
304.202816 59.944
304.452816 59.944
304.702816 59.944
304.952816 59.943
305.202816 59.943
305.452816 59.942
305.702816 59.941
305.952816 59.940
306.202816 59.940
306.452816 59.939
306.702816 59.938
306.952816 59.937
307.202816 59.936
307.452816 59.935
307.702816 59.934
307.952816 59.933
308.202816 59.932
308.452816 59.931
308.702816 59.930
308.952816 59.930
309.202816 59.929
309.452816 59.928
309.702816 59.927
309.952816 59.926
310.202816 59.925
310.452816 59.924
310.702816 59.923
310.952816 59.922
311.202816 59.921
311.452816 59.920
311.702816 59.919
311.952816 59.918
312.202816 59.917
312.452816 59.916
312.702816 59.915
312.952816 59.915
313.202816 59.914
313.452816 59.913
313.702816 59.912
313.952816 59.911
314.202816 59.910
314.452816 59.909
314.702816 59.909
314.952816 59.908
315.202816 59.907
315.452816 59.907
315.702816 59.906
315.952816 59.906
316.202816 59.906
316.452816 59.906
316.702816 59.905
316.952816 59.905
317.202816 59.905
317.452816 59.905
317.702816 59.905
317.952816 59.905
318.202816 59.904
318.452816 59.904
318.702816 59.904
318.952816 59.904
319.202816 59.904
319.452816 59.904
319.702816 59.904
319.952816 59.904
320.202816 59.903
320.452816 59.903
320.702816 59.903
320.952816 59.903
321.202816 59.903
321.452816 59.903
321.702816 59.903
321.952816 59.903
322.202816 59.903
322.452816 59.903
322.702816 59.902
322.952816 59.902
323.202816 59.902
323.452816 59.902
323.702816 59.902
323.952816 59.902
324.202816 59.902
324.452816 59.902
324.702816 59.901
324.952816 59.901
325.202816 59.901
325.452816 59.901
325.702816 59.901
325.952816 59.900
326.202816 59.899
326.452816 59.899
326.702816 59.898
326.952816 59.898
327.202816 59.897
